timestamp,min_lum,mean_lum,max_lum,diff_lum,amp_rms,amp_peak,ebu_r128_M
829.5,0,78.0167,201,1.18069,-32.90223927961068,-40.78136547958438,-38.602
829.533333,0,77.8583,199,1.37824,-33.207717836128246,-41.144792913659415,-39.007995939999546
829.566667,0,77.7701,195,1.2827,-32.23877580658523,-41.908762198521934,-39.41400406000045
829.6,0,77.7658,195,0.0463314,-34.7858095,-43.558209500000004,-39.82
829.633333,0,77.6572,195,1.30401,-34.69438354590634,-43.963796232730864,-39.66000160000018
829.666667,0,77.5758,195,1.02768,-26.407091247501853,-38.953393835852616,-39.49999840000037
829.7,0,77.4417,193,1.10697,-26.532713220036158,-38.05661709084628,-39.34
829.733333,0,77.4008,193,1.18692,-30.009591961754285,-40.443944182527424,-39.499665070000006
829.766667,0,77.3693,193,0.216251,-28.314989384100418,-39.48587464604043,-39.65933493
829.8,0,77.2953,193,1.17913,-31.151225739367398,-41.555567700800836,-39.819
829.833333,0,77.3512,193,0.939672,-34.62785616242514,-42.711432504149954,-39.842999760000055
829.866667,0,77.3953,193,0.993241,-34.785156,-41.419693,-39.867000240000024
829.9,0,77.4994,195,1.15342,-33.834200819011954,-43.23986198720197,-39.891
829.933333,0,77.4939,195,0.0466623,-32.81931361754506,-41.71486127675405,-40.12933094999973
829.966667,0,77.5282,195,1.141,-32.86836535621126,-42.402096629166515,-40.367669050000266
830.0,0,77.4382,193,1.85797,-33.28425588276083,-42.60093688576402,-40.606
830.033333,0,77.4033,192,1.05581,-33.59197353297821,-42.32737617142469,-41.139661329999406
830.066667,0,77.3741,195,1.12468,-32.44416634523855,-42.6910037334183,-41.6733386700006
830.1,0,77.3686,195,0.0185189,-30.78162884305662,-41.16024285960147,-42.207
830.133333,0,77.3145,195,0.903981,-31.892815566071427,-41.26863826381661,-40.96201245000138
830.166667,0,77.2761,193,0.956678,-31.295520560806576,-41.58149687720105,-39.71698755000286
830.2,0,77.2496,193,0.930071,-25.50402285162994,-35.205066086801935,-38.472
830.233333,0,77.2518,198,1.38674,-22.76704486828497,-33.53001845270513,-37.98300488999999
830.266667,0,77.2476,198,0.0530642,-28.654415923804077,-38.256798253067366,-37.493995110000014
830.3,0,77.3513,192,1.32159,-31.02257642116178,-39.94664891183345,-37.005
830.333333,0,77.3663,193,1.04305,-28.14884827141084,-36.36790305667122,-36.89666774999975
830.366667,0,77.35,193,1.12283,-23.84875869775993,-34.04424998743833,-36.78833224999988
830.4,0,77.3753,193,1.03894,-27.408377,-37.820578,-36.68
830.433333,0,77.2558,193,1.07118,-29.861974907000867,-38.996784589009565,-36.64000040000005
